EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,reach-v1_success_rate,reach-v1_eval_rewards,mean_success_rate,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
20,16.392802476882935,8200,11110.03690,11574.45897,10086.92252,0.00110,16.39052,0.00112,0.00000,11474.46640,0.00000,74.04936,3.38573,84.27798,63.51085,1.71450,0.03180,1.76791,1.65919,-4.05418,0.22948,-3.29563,-4.56690,-2950.75957,68.57325,-2776.86914,-3128.28857,4548.17019,585.47969,6355.91748,3544.91138,4392.83972,550.30536,5918.51562,3301.37744,36.34246,19.89041,111.32890,10.77772,165347.66432,111468.51700,602407.37500,26956.00781,123396.60278,58242.47431,395518.43750,28469.83789,-0.62172,0.04639,-0.47587,-0.69285,0.17273,0.07029,0.37518,0.10398,0.24561,0.30616,1.24242,-0.21230,-1.02353,0.13708,-0.70317,-1.30088,11.53868,0.53294,12.55597,9.82713,11.53868,0.53294,12.55597,9.82713,3.81213,0.58803,5.64547,3.04851,17.63711,0.57316,20.25351,16.40544,-3.09308,2.14112,2.16958,-10.11943,0.84984,0.15334,1.19569,0.56983,2.41044,0.10342,2.55223,2.11637,3.77000,0.32219,4.95674,3.09815,-3.39734,0.26627,-3.10243,-4.49200
21,15.349528074264526,8400,11383.76686,11566.56256,10141.93254,0.00110,15.34606,0.00216,0.00000,11361.28066,0.00000,74.40586,3.00019,83.13530,66.67240,1.82126,0.03106,1.87533,1.76845,-4.18659,0.26561,-3.55398,-4.82936,-3183.74886,72.76777,-3013.31299,-3343.67822,4624.92154,478.47194,5924.82910,3617.24609,5007.06654,511.97783,6483.85645,4036.06763,67.23457,31.97579,169.68944,18.61291,175543.27592,93312.30168,447317.46875,29438.29297,174287.26252,89441.11400,425855.43750,41024.79688,-0.69524,0.03529,-0.57147,-0.78766,0.15383,0.03938,0.35701,0.09475,-0.14542,0.17933,0.61132,-0.34806,-1.23129,0.17904,-0.86590,-1.63975,10.98765,0.38537,11.84676,10.04302,10.98765,0.38537,11.84676,10.04302,4.65248,0.27294,5.64221,4.12893,17.87213,0.51153,19.82129,16.72482,-5.30889,1.43498,-2.22780,-12.87536,0.88651,0.07180,1.03339,0.68740,2.32320,0.04493,2.47897,2.20700,3.16724,0.24805,4.12957,2.90606,-3.30070,0.15728,-3.08742,-4.16451
22,16.108413457870483,8600,12023.67813,23118.15002,9996.85988,0.00156,16.10464,0.00195,0.00000,17273.66717,0.00000,75.84074,3.19243,83.12321,68.32182,1.93215,0.03288,1.98918,1.87588,-4.59148,0.22656,-4.02406,-5.23352,-3419.36431,74.49497,-3259.93823,-3632.75708,4763.12368,486.37745,6194.84521,3552.36646,5372.68713,553.92475,7279.06543,4166.89258,53.29857,25.31003,166.07565,11.50682,221983.83431,104360.19567,526886.31250,31652.45898,235165.90551,100932.69851,496518.09375,48999.50000,-0.67863,0.01935,-0.62897,-0.74311,0.12459,0.01304,0.15865,0.09782,-0.28336,0.04723,-0.12871,-0.36034,-1.13984,0.09975,-0.94031,-1.34616,10.97755,0.33000,11.87841,10.25276,10.97755,0.33000,11.87841,10.25276,4.69383,0.19016,5.19207,4.24400,17.83464,0.40676,18.99917,16.79360,-5.31353,1.39913,-1.98505,-10.93453,0.92694,0.04985,1.09327,0.82854,2.30898,0.03496,2.39508,2.21662,3.05871,0.05202,3.19430,2.94210,-3.31327,0.09128,-3.10099,-3.51562
23,16.46670937538147,8800,12963.12243,17097.35056,10036.58375,0.00330,16.46160,0.00167,0.00000,20110.74884,0.00000,78.12797,3.52386,86.46142,69.49767,2.04710,0.03365,2.10569,1.98976,-4.78460,0.23337,-4.11298,-5.28144,-3657.20513,75.24051,-3455.28906,-3810.73560,4863.33578,512.94503,6486.19629,3725.98706,5327.40531,549.89472,7288.09668,4360.80127,67.15223,32.22153,166.25337,17.34439,216789.61951,113347.97464,538091.06250,31479.96875,233453.86043,121713.31249,615550.31250,32681.21094,-0.68474,0.01604,-0.64993,-0.72812,0.12917,0.01116,0.16248,0.10608,-0.27325,0.04590,-0.17907,-0.36790,-1.16707,0.08407,-0.99918,-1.35609,10.68231,0.28841,11.58401,9.95270,10.68231,0.28841,11.58401,9.95270,4.80984,0.23812,5.33619,4.21131,17.81246,0.44095,18.93686,16.87288,-4.82987,1.38143,-2.32630,-9.20990,0.91662,0.05730,1.06318,0.75147,2.28060,0.03069,2.38500,2.21546,3.09697,0.05498,3.21729,2.98294,-3.53655,0.14946,-3.28771,-3.90510
24,15.785221576690674,9000,14052.74165,23914.69115,10708.73836,0.00244,15.78082,0.00174,0.00000,22773.88589,0.00000,80.12783,3.24546,89.32687,71.28448,2.16635,0.03527,2.22772,2.10629,-5.05009,0.26347,-4.34359,-5.70971,-3910.48517,82.93271,-3692.19775,-4110.75879,4979.77349,521.80504,6826.77979,4042.58911,5870.81128,770.22135,8743.95117,4283.83008,87.04619,43.92295,234.74889,16.33453,222967.81129,124199.35718,634362.12500,46243.08203,327535.15439,194890.24241,877151.25000,53485.60547,-0.69714,0.01834,-0.64612,-0.73710,0.13834,0.01410,0.17882,0.11313,-0.22325,0.07370,-0.07078,-0.37608,-1.29903,0.06010,-1.14099,-1.39793,10.53651,0.31775,11.41350,9.66607,10.53651,0.31775,11.41350,9.66607,4.85621,0.27213,5.64726,4.21019,17.89387,0.48684,19.20325,16.69696,-4.89462,1.55648,-2.21545,-10.17192,0.90813,0.06082,1.05492,0.75713,2.26442,0.04487,2.38893,2.16499,3.11950,0.06415,3.33280,2.96392,-3.73309,0.17525,-3.37973,-4.14473
25,16.498544216156006,9200,15317.48531,36713.23955,11189.93654,0.00603,16.49060,0.00168,0.00000,24596.79460,0.00000,81.49238,3.24670,89.66853,72.12461,2.29119,0.03703,2.35566,2.22834,-5.30646,0.25586,-4.71793,-6.08986,-4171.77847,86.03365,-3951.84766,-4361.89941,5303.69261,515.66127,6670.19385,4196.95312,5824.84672,826.06597,8577.69824,4362.23340,74.10894,31.92828,203.71368,22.49719,249544.29662,120435.87786,582428.06250,52009.46094,296358.66975,201139.67964,856862.75000,41669.07031,-0.68912,0.01673,-0.65072,-0.73896,0.13180,0.01219,0.16610,0.10970,-0.23555,0.07982,0.01982,-0.35235,-1.30564,0.06379,-1.14999,-1.49105,10.40364,0.28171,11.13783,9.61967,10.40364,0.28171,11.13783,9.61967,4.87227,0.24119,5.56517,4.33047,17.91592,0.41185,18.98361,17.02610,-4.96180,1.54697,-1.77008,-9.77383,0.87230,0.04676,0.98872,0.70255,2.26487,0.03268,2.34461,2.18578,3.10897,0.05103,3.22869,2.98150,-3.77111,0.19599,-3.34962,-4.26648
26,17.058817148208618,9400,17034.76671,29954.00439,11953.63027,0.00218,17.05503,0.00148,0.00000,28482.04495,0.00000,84.28292,3.35601,94.26498,75.62107,2.42177,0.03840,2.48868,2.35630,-5.48702,0.26046,-4.86426,-6.24770,-4429.69194,82.91760,-4234.32910,-4663.45996,5512.00596,551.60228,7875.25146,4363.46582,5615.85590,656.28548,8531.70996,4244.48584,67.42383,25.46316,134.53252,21.48856,241374.03404,125807.17623,683727.87500,54527.86328,246314.50486,166986.01980,969601.93750,36121.69141,-0.68032,0.01914,-0.63773,-0.71988,0.13451,0.01147,0.15885,0.10033,-0.27688,0.05264,-0.16567,-0.39905,-1.29960,0.08555,-1.09142,-1.46474,10.20653,0.27849,11.20446,9.59283,10.20653,0.27849,11.20446,9.59283,4.93177,0.20614,5.49323,4.52489,17.84065,0.33777,19.00846,17.19751,-4.69074,1.40036,-1.53896,-9.05970,0.90713,0.03865,1.00025,0.78273,2.22885,0.03478,2.34155,2.14482,3.11196,0.04594,3.20669,2.98871,-3.54628,0.14581,-3.23947,-3.88415
27,16.35857343673706,9600,18662.01922,34632.88175,13655.86453,0.00634,16.35065,0.00151,0.00000,27536.22696,0.00000,86.62110,3.16020,97.20154,80.37817,2.55582,0.03874,2.62325,2.48937,-5.46564,0.27350,-4.76567,-6.12245,-4713.18707,89.16674,-4437.42871,-4939.56738,5979.66685,635.90018,7917.20801,4626.46680,5985.42825,590.72214,7822.91797,4497.87402,69.38065,28.33129,174.61363,21.19279,297257.83854,155448.69751,726073.56250,53747.57812,266452.21842,138481.13055,657379.75000,39514.04688,-0.63323,0.01516,-0.60450,-0.67844,0.15620,0.01761,0.19759,0.11686,0.05312,0.09992,0.19188,-0.18977,-0.99504,0.06145,-0.88363,-1.16647,9.82740,0.28386,10.52903,9.04258,9.82740,0.28386,10.52903,9.04258,5.30043,0.28308,5.99428,4.59304,17.95563,0.30346,18.80030,17.17378,-5.43605,1.73256,-2.02544,-10.93767,0.85717,0.04995,0.97829,0.72393,2.22457,0.03817,2.32886,2.11768,3.15835,0.07320,3.42354,3.03432,-3.51781,0.20413,-3.17293,-3.97257
28,15.500914096832275,9800,20590.38113,43792.56510,14572.18858,0.00223,15.48843,0.00142,0.00000,30778.50419,0.00000,88.42101,3.36832,96.79881,77.15257,2.69275,0.04033,2.76327,2.62396,-5.56199,0.29935,-4.75112,-6.50824,-4998.20866,100.47129,-4741.91211,-5242.94434,6548.09014,646.69337,8558.97461,4738.14404,6521.04956,796.75635,9732.84473,4789.76172,72.63827,25.80951,156.09337,27.89937,355324.92889,159594.01921,788870.75000,60487.74609,321899.37713,195203.15628,1057521.00000,51032.45703,-0.60483,0.01475,-0.57556,-0.64537,0.18280,0.01613,0.22207,0.14936,0.05111,0.09627,0.26582,-0.11821,-0.93151,0.03359,-0.85891,-1.01052,9.61679,0.28442,10.45511,8.79600,9.61679,0.28442,10.45511,8.79600,5.44594,0.25038,5.99518,4.73350,18.07096,0.35075,18.90068,17.18154,-5.61009,1.45803,-2.39306,-10.61714,0.78629,0.04766,0.89517,0.67791,2.23285,0.04215,2.33801,2.10451,3.17689,0.06244,3.38676,3.02143,-3.48974,0.21088,-3.08458,-4.09040
29,15.722135782241821,10000,22725.38739,37553.48897,15537.84936,0.00456,15.70608,0.00154,0.00000,32866.25427,0.00000,92.05465,3.49616,101.48961,82.55865,2.84027,0.04496,2.91901,2.76401,-6.07177,0.29886,-5.18746,-6.82614,-5308.55121,101.64103,-5013.50293,-5584.98682,7029.82678,624.50789,9348.44043,5320.01611,8042.51511,1134.02081,11242.63379,5534.45020,77.78431,33.81731,181.28958,29.55081,275267.64402,139103.07431,679832.25000,77542.78125,566792.35160,248541.01840,1135899.25000,103483.18750,-0.61673,0.01480,-0.57156,-0.65359,0.14155,0.01384,0.16842,0.11287,-0.14660,0.05619,-0.04082,-0.26239,-0.90010,0.03042,-0.84086,-0.99418,9.81809,0.25957,10.49372,8.95913,9.81809,0.25957,10.49372,8.95913,5.19824,0.30003,6.00553,4.23692,18.07340,0.35805,18.98800,16.88064,-5.32896,1.54688,-2.30724,-9.52515,0.69524,0.05952,0.87136,0.53394,2.27927,0.03720,2.35583,2.17759,3.12736,0.04900,3.22903,3.00452,-3.33020,0.16076,-3.04077,-3.85149
30,19.504923343658447,10200,24803.65584,39486.47261,17541.15196,0.00530,19.49799,0.00154,0.00000,32257.15082,0.00000,93.57904,3.78113,102.49080,84.45520,3.00261,0.04843,3.08677,2.91982,-6.42179,0.33888,-5.65692,-7.27222,-5630.90265,104.90297,-5333.35693,-5887.05078,7450.76050,646.88710,9787.03125,6161.07812,7372.14211,602.58738,9599.26562,6166.04297,90.07673,37.87904,240.71097,30.87772,381652.41453,169265.23212,946306.62500,79964.34375,226027.23055,127622.47199,824258.56250,73606.95312,-0.62118,0.02064,-0.57578,-0.66176,0.13465,0.01785,0.18047,0.10710,-0.13059,0.07868,0.00855,-0.25070,-0.89940,0.03985,-0.82439,-1.03654,9.84327,0.30345,10.59322,9.12237,9.84327,0.30345,10.59322,9.12237,5.11892,0.24534,5.71622,4.35077,18.07160,0.33914,18.98202,16.79880,-5.29816,1.57372,-2.50410,-11.94283,0.66555,0.06839,0.83942,0.51003,2.28631,0.04474,2.38373,2.17625,3.10244,0.04855,3.23544,2.99290,-3.21984,0.10672,-2.99165,-3.54818
31,17.761833906173706,10400,26646.29808,52337.81047,17534.04997,0.00407,17.75584,0.00166,0.00000,29787.70310,0.00000,96.32196,3.89311,106.50574,87.04100,3.17384,0.05048,3.26191,3.08766,-6.54358,0.34695,-5.73033,-7.54063,-5945.20222,101.35567,-5712.05469,-6220.82129,7718.06901,681.72281,9761.88867,6247.26074,8066.89823,740.90962,10906.46777,6324.80957,91.74507,38.41354,229.23366,27.70274,330039.55395,166892.07897,818970.06250,76763.87500,347572.92438,192896.82497,875712.25000,56944.58594,-0.61258,0.01591,-0.57872,-0.65112,0.15653,0.01245,0.18845,0.12627,-0.00817,0.05182,0.12061,-0.11720,-0.92011,0.04528,-0.82211,-1.02284,9.66771,0.28955,10.40208,8.92630,9.66771,0.28955,10.40208,8.92630,5.23051,0.22128,5.78176,4.68955,17.98024,0.30321,18.89816,17.25520,-5.82671,1.37930,-2.65223,-11.72878,0.61933,0.06751,0.79294,0.45254,2.27525,0.04104,2.38440,2.17861,3.11250,0.06543,3.38940,2.95904,-3.20020,0.08772,-3.02486,-3.45020
32,16.69684648513794,10600,28408.44830,37121.20899,17962.21420,0.00146,16.68540,0.00178,0.00000,34895.16941,0.00000,98.70458,3.79841,107.17415,89.35547,3.35217,0.05218,3.44301,3.26280,-6.60983,0.30483,-5.69408,-7.36452,-6243.38977,109.73954,-5970.35254,-6510.61719,7813.47534,719.97218,10009.68945,6082.21631,8271.70165,689.46929,10315.59766,6676.73438,89.41121,32.94061,195.27623,29.12498,340095.64299,191008.10992,934095.93750,59976.80859,351926.03961,178465.80735,786849.18750,69524.79688,-0.60797,0.01521,-0.57676,-0.65258,0.17364,0.01319,0.21477,0.13711,0.05746,0.04810,0.17628,-0.03393,-0.88360,0.03352,-0.78750,-0.96108,9.46661,0.25099,10.03168,8.76772,9.46661,0.25099,10.03168,8.76772,5.21948,0.18358,5.71587,4.72235,17.88661,0.30091,18.82223,17.20591,-5.93423,1.63896,-3.18325,-11.14968,0.53292,0.05134,0.66119,0.40631,2.26826,0.03218,2.36048,2.18418,3.12649,0.06029,3.36443,3.01708,-3.17185,0.08789,-3.01451,-3.43712
33,15.416489362716675,10800,30032.15401,43583.44989,19365.58449,0.00502,15.40213,0.00181,0.00000,36347.80587,0.00000,101.35516,3.65131,114.15607,90.64153,3.53664,0.05429,3.63176,3.44396,-6.68014,0.29236,-5.70452,-7.45301,-6541.97188,111.97673,-6222.90381,-6843.32910,7752.48946,698.75888,10168.64941,6170.04980,8388.16364,764.14436,10655.37500,6441.95020,99.02607,43.48164,303.72986,35.17262,319762.96709,173144.97112,1012287.93750,54632.18750,393568.73789,185492.74115,976944.75000,80810.37500,-0.61158,0.01009,-0.58681,-0.63321,0.17482,0.00669,0.19096,0.15557,0.09349,0.02879,0.16930,0.03818,-0.91997,0.02396,-0.86391,-0.97448,9.28970,0.21600,9.84010,8.60992,9.28970,0.21600,9.84010,8.60992,5.13007,0.19212,5.72742,4.71005,17.72068,0.35252,18.61628,16.97714,-5.82685,1.27905,-3.34472,-9.57839,0.52393,0.04790,0.63815,0.38211,2.24213,0.02577,2.32488,2.17905,3.08216,0.05280,3.19920,2.96179,-3.19484,0.07226,-3.04170,-3.41783
34,15.59378981590271,11000,31799.14998,48936.40907,20000.63653,0.00489,15.58098,0.00100,0.00000,40443.84560,0.00000,110.14181,3.99463,122.84367,98.77218,3.73526,0.06026,3.83993,3.63276,-7.16820,0.29883,-6.33442,-7.89453,-6869.32728,103.41790,-6629.05371,-7130.17334,9125.86856,726.64103,11567.68945,7514.56396,9659.30451,837.70434,12002.15723,7586.66309,118.07121,45.07727,248.17253,35.13654,373899.42676,196027.62479,967211.75000,67184.23438,411760.16652,189688.67406,925891.81250,73046.71875,-0.62528,0.01239,-0.59718,-0.65204,0.15805,0.01220,0.19528,0.13035,0.12972,0.05146,0.19946,-0.00552,-0.92045,0.03423,-0.83710,-1.00062,9.44128,0.22020,9.91127,8.91043,9.44128,0.22020,9.91127,8.91043,4.86270,0.20513,5.47444,4.36888,17.70128,0.34948,18.64457,16.73225,-5.79537,1.51750,-3.21996,-11.55943,0.43086,0.06540,0.68552,0.28737,2.27058,0.03069,2.33892,2.18742,3.05230,0.04112,3.15280,2.93876,-3.15493,0.06578,-2.99520,-3.32023
35,16.20836329460144,11200,38713.66316,48891.88595,20979.07857,0.00612,16.18769,0.00148,0.00000,93741.92643,0.00000,115.20848,4.45852,128.26836,101.72755,3.95086,0.06428,4.06259,3.84101,-7.45724,0.34527,-6.58213,-8.28805,-7178.10302,101.89630,-6927.71387,-7471.04199,9427.75110,807.30187,12228.04785,7577.79688,9630.84475,701.34445,11988.28711,7875.09619,141.90313,63.09238,309.76947,33.21411,412968.23074,214806.42642,1084376.00000,90444.88281,288566.73271,166299.46904,867994.25000,61491.74219,-0.63076,0.01415,-0.60193,-0.66413,0.14129,0.00893,0.16022,0.11903,0.13918,0.03210,0.21975,0.07805,-0.95576,0.02496,-0.89609,-1.01454,9.42959,0.24979,10.06684,8.86764,9.42959,0.24979,10.06684,8.86764,4.63204,0.26756,5.26274,3.97677,17.52749,0.37454,18.57697,16.47815,-5.77438,1.50275,-3.21466,-11.28389,0.38105,0.05192,0.51549,0.25044,2.27337,0.03018,2.33971,2.20473,3.03729,0.04481,3.14350,2.93665,-3.13415,0.05982,-3.03084,-3.34073
36,16.33800506591797,11400,42205.45133,120420.68760,25133.25463,0.00169,16.33500,0.00124,0.00000,63399.92666,0.00000,121.54496,4.93371,131.83875,104.45712,4.18008,0.06860,4.29973,4.06375,-7.72035,0.39087,-6.78670,-8.65985,-7474.90094,108.45277,-7154.71582,-7755.91406,9499.90544,859.79503,12306.42969,7397.49463,10128.90505,822.20597,12483.23242,8230.86719,140.50737,73.44413,506.46042,32.71730,417031.64379,220767.67076,1050805.00000,80637.57812,363401.07168,182824.98353,1049492.50000,78165.89062,-0.63974,0.01088,-0.61540,-0.66181,0.12207,0.00916,0.14285,0.09683,0.06978,0.04060,0.16212,-0.01807,-0.96814,0.01815,-0.91586,-1.01843,9.39892,0.26093,10.07535,8.81359,9.39892,0.26093,10.07535,8.81359,4.31036,0.19229,4.83260,3.77905,17.41320,0.32548,18.16414,16.60576,-5.52992,1.66156,-2.18422,-13.30812,0.33057,0.04359,0.43497,0.17859,2.26648,0.02967,2.33150,2.20129,3.00919,0.03748,3.09104,2.90224,-3.12020,0.04942,-3.01641,-3.26683
37,16.934216499328613,11600,45082.73752,84237.57702,27036.77889,0.00604,16.92665,0.00144,0.00000,56309.08890,0.00000,126.92928,4.61490,137.56111,112.11674,4.42263,0.07134,4.54769,4.30093,-7.84466,0.37104,-6.82310,-8.96356,-7779.18310,108.00387,-7484.45703,-8063.29443,9857.52619,880.91242,12553.37305,7607.72021,10535.93372,822.97637,12665.17773,7938.61084,157.34157,88.54266,526.13641,37.04522,372615.29391,208322.39662,1110545.50000,82288.99219,483272.08281,202951.92483,985132.06250,77143.12500,-0.63902,0.01179,-0.60964,-0.66427,0.11406,0.00629,0.12850,0.09476,0.04046,0.03202,0.10300,-0.05628,-0.93393,0.03169,-0.86181,-1.00418,9.27763,0.23634,9.92585,8.56822,9.27763,0.23634,9.92585,8.56822,4.13434,0.17259,4.59384,3.70026,17.17277,0.37365,18.16216,16.17007,-5.22218,1.38752,-2.49808,-11.33403,0.35796,0.05869,0.49028,0.21594,2.24341,0.02640,2.31830,2.15828,2.98897,0.03776,3.10338,2.89543,-3.10493,0.05153,-2.97673,-3.25508
38,15.107407331466675,11800,47519.68698,93563.08257,28887.75712,0.00561,15.09974,0.00190,0.00000,55147.99878,0.00000,133.81569,4.81647,146.99837,120.92300,4.68161,0.07762,4.81645,4.54898,-8.25630,0.33988,-7.46442,-9.40097,-8085.63715,99.29331,-7812.72363,-8391.22656,9919.83393,850.88115,12423.99023,7477.94824,10164.86163,801.59163,12394.61133,8320.86914,162.71565,91.04371,497.47247,31.76554,490751.07562,242314.41730,1107912.50000,88322.28906,359186.23561,188786.62126,980942.25000,64228.89453,-0.63667,0.00737,-0.61774,-0.65333,0.10326,0.00559,0.12214,0.08897,0.00130,0.02489,0.04386,-0.06242,-0.87634,0.01664,-0.84166,-0.91752,9.35045,0.22187,10.02847,8.81845,9.35045,0.22187,10.02847,8.81845,3.93631,0.20564,4.58308,3.43430,17.02595,0.45636,17.99555,15.66943,-5.30771,1.34681,-2.86521,-10.17135,0.39598,0.04670,0.54709,0.27363,2.24396,0.02809,2.31254,2.16638,2.99596,0.05225,3.13141,2.86185,-3.10751,0.07068,-2.87821,-3.28158
39,16.420174598693848,12000,51834.02509,91141.32627,32523.38003,0.00490,16.41373,0.00147,0.00000,76009.63533,0.00000,139.13412,4.97925,152.07222,125.65849,4.95559,0.08020,5.09470,4.81780,-8.28394,0.40054,-7.24870,-9.33102,-8379.12634,111.14213,-8079.63135,-8790.35449,9937.86464,812.42336,12289.16602,7875.25488,10589.50816,867.69669,13213.10938,8356.32227,188.70376,112.56896,647.91980,38.52600,365708.17715,191671.83010,1233608.62500,84564.92188,486725.60242,228381.57514,1136752.87500,81223.21875,-0.63689,0.01154,-0.61421,-0.67763,0.09853,0.00671,0.11678,0.07998,-0.00873,0.02402,0.03750,-0.07760,-0.86518,0.01733,-0.82924,-0.92144,9.17774,0.25838,9.91728,8.57930,9.17774,0.25838,9.91728,8.57930,3.85279,0.15040,4.31180,3.48359,16.75185,0.35576,17.63092,15.92721,-5.20127,1.48197,-1.88519,-11.17728,0.40752,0.03569,0.50478,0.32440,2.21745,0.03009,2.31062,2.14059,2.94625,0.04214,3.09186,2.85412,-3.06191,0.05084,-2.95256,-3.19508
40,17.63184928894043,12200,55013.65208,103448.90437,34912.15640,0.00834,17.62151,0.00178,0.00000,64053.42075,0.00000,144.96951,4.99770,159.21294,131.09061,5.23726,0.08192,5.37910,5.09612,-8.15537,0.39547,-7.02461,-9.10443,-8661.13008,118.27471,-8324.23145,-8974.86133,10448.54884,848.63818,12894.61133,8738.28613,11340.79700,1105.82532,16884.67773,8988.79883,221.86472,129.97115,702.07117,49.97007,429388.02945,233653.51935,1234032.62500,85300.60938,477639.25965,294849.03878,1627722.37500,92869.31250,-0.63302,0.00783,-0.61443,-0.65147,0.09712,0.00602,0.11428,0.07758,0.01288,0.02364,0.06224,-0.07024,-0.86253,0.01651,-0.82464,-0.91067,8.92721,0.24821,9.48882,8.22896,8.92721,0.24821,9.48882,8.22896,3.75626,0.15421,4.19112,3.46098,16.46302,0.39784,17.52853,15.63773,-5.39414,1.45498,-2.31589,-11.32850,0.40503,0.04593,0.49646,0.27590,2.18782,0.02972,2.26030,2.11898,2.93808,0.04303,3.06154,2.82530,-3.07291,0.07076,-2.87553,-3.27164
41,16.204057216644287,12400,59460.34687,95641.84187,36792.48385,0.00097,16.20157,0.00139,0.00000,74254.65094,0.00000,150.79623,5.34347,165.89333,139.81975,5.52478,0.08392,5.66968,5.38054,-7.97559,0.39301,-6.80614,-8.91740,-8945.30263,111.42703,-8664.66504,-9232.51172,10305.99923,733.09830,12696.59082,8545.95508,11292.09616,955.73499,14486.30957,9202.40625,265.54695,168.55040,826.87561,39.21164,329019.13191,152270.79965,833873.56250,100902.42188,430766.22676,222249.13324,1080677.50000,71780.52344,-0.63347,0.00978,-0.60866,-0.65631,0.09717,0.00547,0.11412,0.08126,0.00329,0.02613,0.05158,-0.09305,-0.87963,0.02686,-0.82247,-0.93335,8.66789,0.23990,9.26801,7.93366,8.66789,0.23990,9.26801,7.93366,3.63608,0.14188,3.98845,3.29949,16.09892,0.39059,17.09475,15.17024,-5.20223,1.38881,-2.67792,-9.52941,0.41467,0.03951,0.49874,0.31431,2.15063,0.02950,2.21723,2.05136,2.91376,0.04460,3.01829,2.79330,-3.03710,0.06816,-2.89663,-3.21836
42,4318.04550409317,12600,64208.12002,103031.12223,41058.63906,0.00185,4318.04215,0.00141,0.00000,82372.90090,0.00000,156.87349,4.91788,169.90675,145.95674,5.81726,0.08488,5.96449,5.67114,-7.71156,0.43663,-6.24232,-9.08947,-9209.47790,107.04722,-8955.67188,-9530.64551,11400.90309,1379.92481,17552.91797,9075.16895,11687.38615,1064.97887,17230.71484,9639.05273,287.44382,169.29864,1043.17798,59.64297,605510.22609,397540.75611,2003623.75000,76780.93750,400099.30496,271480.16123,1796336.50000,76922.56250,-0.63089,0.00951,-0.60467,-0.65379,0.09683,0.00712,0.11754,0.07905,-0.00937,0.03084,0.04481,-0.10569,-0.87194,0.02431,-0.81673,-0.92974,8.38102,0.25583,9.13188,7.52022,8.38102,0.25583,9.13188,7.52022,3.64640,0.19806,4.17648,3.18351,15.97051,0.52455,17.37349,14.50100,-5.38918,1.56298,-2.67888,-11.23534,0.41821,0.04011,0.52984,0.28459,2.11746,0.03119,2.20106,2.00948,2.89976,0.04898,3.03082,2.71436,-3.00978,0.07580,-2.82170,-3.26512
43,21.438538074493408,12800,68216.57696,102603.26009,43295.77497,0.00169,21.43538,0.00137,0.00000,76432.37527,0.00000,163.41344,5.10544,178.81894,149.11838,6.11668,0.08784,6.26962,5.96596,-7.59580,0.40477,-6.54423,-9.09526,-9501.79847,114.54597,-9231.03613,-9846.64453,12148.66146,1442.03068,18768.24219,9923.96777,12397.85059,1066.56186,16842.01367,10211.73145,297.02673,181.35745,1042.77612,50.33621,590721.42598,381204.98179,2135930.50000,94991.90625,498984.44508,269551.35575,1484369.12500,73404.32812,-0.63315,0.00836,-0.60381,-0.65740,0.09504,0.00597,0.11560,0.07801,-0.00552,0.02980,0.06235,-0.09119,-0.88664,0.02411,-0.82809,-0.94677,8.19539,0.22796,9.03391,7.61888,8.19539,0.22796,9.03391,7.61888,3.58749,0.15688,3.95952,3.19477,15.80339,0.45480,17.03448,14.62101,-5.31526,1.44514,-2.57694,-8.95000,0.40168,0.03291,0.50654,0.28877,2.09616,0.02758,2.19110,2.02710,2.88580,0.04303,3.02700,2.78509,-2.99527,0.07248,-2.83161,-3.15764
