EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,reach-v1_success_rate,reach-v1_eval_rewards,mean_success_rate,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
10,15.5951509475708,6200,8503.83035,25934.08377,9747.13165,0.00518,15.58841,0.00148,0.00000,12556.87275,0.00000,72.45938,2.54666,80.33047,66.72188,0.77158,0.01373,0.79804,0.75029,0.80831,0.17713,1.22778,0.35230,-1127.52136,40.35230,-1020.35779,-1206.55835,3950.68619,819.89592,6058.59668,2316.98218,3686.23823,720.38438,5517.62646,2185.84717,26.42258,15.88332,73.19005,4.24475,30205.76126,16383.37162,95321.35156,6619.34814,41629.72215,28789.56033,166747.62500,4936.42285,-0.74534,0.06928,-0.58885,-0.87870,0.25968,0.07504,0.45068,0.14658,0.24645,0.49822,1.76674,-0.09257,-1.28241,0.27014,-1.03257,-2.10267,7.14998,0.81179,9.09096,5.25007,7.14998,0.81179,9.09096,5.25007,3.16284,0.28415,3.85139,2.54531,16.84622,2.40783,24.85926,12.03913,-4.86835,1.16691,-3.22178,-10.96681,0.40581,0.11316,0.63888,0.17257,1.90075,0.11252,2.13853,1.67190,2.88417,0.24069,3.55284,2.43122,-3.63881,0.33693,-2.79750,-4.26271
11,15.73163390159607,6400,8214.57088,13545.73541,9985.24975,0.00597,15.72364,0.00186,0.00000,8623.98099,0.00000,73.71061,2.75810,81.10414,66.99058,0.83220,0.02089,0.86947,0.79834,0.85009,0.11669,1.19017,0.55213,-1289.00885,46.92001,-1175.73804,-1397.19116,3880.98323,673.24193,5954.31494,2226.49731,3930.50336,697.81944,5726.48730,2335.88745,32.45459,20.94157,125.32693,5.67468,45326.15929,23936.78777,126451.70312,9165.75781,50193.11259,36879.91979,177046.20312,4948.28955,-0.71325,0.03581,-0.63170,-0.78240,0.15461,0.02627,0.21355,0.10433,-0.05754,0.02025,-0.02437,-0.13338,-1.05271,0.09863,-0.83526,-1.27731,8.66490,0.68368,10.19880,6.55847,8.66490,0.68368,10.19880,6.55847,3.27802,0.12853,3.63530,2.84562,16.79890,0.97649,18.92376,13.97540,-4.59098,1.03613,-3.10022,-9.20058,0.33204,0.08475,0.50218,0.06302,2.13344,0.07306,2.27813,1.92124,2.73489,0.08659,2.93580,2.44519,-3.45017,0.11143,-3.16611,-3.69342
12,15.62997817993164,6600,9222.78270,8803.94616,9933.99393,0.00216,15.62553,0.00185,0.00000,10874.55451,0.00000,73.52161,2.58118,82.38387,66.98778,0.91002,0.02363,0.95086,0.86984,0.52661,0.13713,0.78253,0.26393,-1448.05651,46.93618,-1349.70398,-1545.97559,4235.18047,677.40303,6461.17090,2688.59131,3731.69234,600.37489,5534.99658,2403.94800,23.78013,12.12867,61.97119,4.97571,77363.68092,43181.66559,179746.00000,10330.97949,46419.96243,28050.40453,182522.45312,9082.40234,-0.67931,0.02441,-0.61901,-0.73316,0.11463,0.01020,0.14028,0.08940,-0.06617,0.03037,-0.00945,-0.14386,-0.92333,0.05953,-0.81073,-1.05605,9.56814,0.33471,10.51365,8.42782,9.56814,0.33471,10.51365,8.42782,3.25719,0.13937,3.82800,2.93759,15.77169,0.95195,18.24225,14.15971,-4.48838,0.92996,-2.70159,-8.01076,0.38084,0.06259,0.53296,0.20511,2.25357,0.03453,2.33544,2.14698,2.86842,0.08457,3.10528,2.64097,-3.31163,0.07145,-3.16606,-3.47964
13,15.180319786071777,6800,10152.48212,22869.19687,9911.30863,0.00512,15.17367,0.00145,0.00000,10716.30586,0.00000,72.92392,2.79952,82.41193,65.40968,0.99511,0.02597,1.04027,0.95126,0.03077,0.16613,0.33334,-0.26560,-1600.40621,51.06378,-1499.59009,-1708.69312,4305.52142,646.83758,6320.44238,2670.71069,3714.55414,544.90602,5395.30957,2405.65576,31.03271,16.54922,105.25576,7.82943,86247.20842,51653.72915,245639.28125,7786.89893,53375.67989,28512.06623,132932.40625,10069.74902,-0.68786,0.03264,-0.62245,-0.75994,0.10166,0.01931,0.15736,0.06647,-0.21832,0.08333,0.00921,-0.34809,-0.92799,0.08888,-0.81475,-1.14307,10.43342,0.52866,11.60321,8.94005,10.43342,0.52866,11.60321,8.94005,2.86207,0.26505,3.73457,2.52402,15.65809,0.65799,18.40584,14.43689,-3.01166,1.94263,0.91721,-12.02492,0.51175,0.08403,0.70332,0.32555,2.33419,0.04008,2.40997,2.21996,2.99406,0.19656,3.54005,2.65117,-3.22848,0.08034,-3.03957,-3.40585
14,15.456784009933472,7000,11315.88015,10604.30619,10153.24535,0.01629,15.43881,0.00154,0.00000,11877.69369,0.00000,74.09146,2.88700,83.00858,66.72172,1.08598,0.02625,1.13094,1.04073,-0.54626,0.16296,-0.25899,-0.83027,-1789.59463,51.65140,-1684.58362,-1898.44800,4323.86809,548.00008,5733.03271,2679.17383,3822.67636,522.79092,5478.69043,2304.47192,26.32706,14.58884,80.69568,7.40544,74804.72728,41139.30108,246555.76562,13819.90137,77122.17942,40669.82747,264527.90625,13683.73535,-0.65370,0.03421,-0.59718,-0.76019,0.16165,0.06570,0.27887,0.07429,0.06064,0.26456,0.54631,-0.26010,-0.89302,0.06273,-0.77466,-1.06201,10.68255,0.41091,11.47876,9.56073,10.68255,0.41091,11.47876,9.56073,2.83298,0.11828,3.13280,2.56199,15.77368,0.42292,16.83125,14.42205,-2.10316,1.91925,1.56586,-8.80085,0.57349,0.07669,0.70993,0.38013,2.36286,0.04139,2.44707,2.25119,3.07136,0.16295,3.47870,2.77813,-3.15633,0.07115,-2.95112,-3.35407
15,15.367485761642456,7200,12474.53992,12442.16736,10099.32343,0.00591,15.35977,0.00169,0.00000,11949.35798,0.00000,73.68767,2.68744,82.38733,67.78492,1.17967,0.02902,1.23051,1.13139,-1.24495,0.24474,-0.80444,-1.64634,-1979.62904,56.04102,-1868.25427,-2100.76807,4104.40599,515.46254,6265.41406,3163.01831,3644.56540,489.73793,5350.56006,2657.26099,27.10219,12.04584,76.37080,6.05179,72871.82251,42066.25470,239926.35938,13994.60645,78811.62035,57256.54243,342780.31250,17723.77930,-0.65577,0.03182,-0.57968,-0.72370,0.18559,0.05884,0.29458,0.08796,1.17065,0.30034,1.68146,0.49377,-0.94776,0.06274,-0.79359,-1.13011,11.51651,0.50661,12.52044,10.23397,11.51651,0.50661,12.52044,10.23397,2.74299,0.15173,3.15009,2.47674,17.21201,1.33413,21.53773,15.13823,-1.27167,1.80279,2.76067,-9.28268,0.71103,0.07451,0.87502,0.51533,2.42490,0.03954,2.51725,2.32677,2.99593,0.13216,3.50653,2.81394,-3.27942,0.06439,-3.09105,-3.42818
16,16.52319049835205,7400,13568.80062,24191.75035,10449.10376,0.00409,16.51776,0.00126,0.00000,11309.23097,0.00000,73.31982,2.93004,81.13892,66.68838,1.28274,0.03003,1.33481,1.23102,-1.97750,0.21346,-1.60201,-2.47703,-2172.03305,59.59584,-2048.63916,-2308.46606,4154.76712,467.31804,5637.22119,3076.10986,3638.36217,424.22204,4704.44824,2538.69995,29.06269,13.53304,73.04923,6.47034,92039.58883,57990.67821,346073.90625,18292.79492,89177.19713,62864.79397,356154.50000,10892.21582,-0.67652,0.01863,-0.64050,-0.72016,0.13081,0.01939,0.17112,0.09427,0.96558,0.31052,1.41021,0.26835,-1.02988,0.05208,-0.89939,-1.16520,11.95955,0.31437,12.90926,11.25169,11.95955,0.31437,12.90926,11.25169,2.67306,0.09521,2.97066,2.46172,16.91419,0.72080,20.26278,15.90183,-1.11561,1.98887,2.10754,-8.76193,0.74744,0.04053,0.82492,0.64671,2.46399,0.02965,2.56709,2.40556,2.99483,0.11801,3.36106,2.80167,-3.24689,0.06028,-3.10687,-3.41188
17,15.484299182891846,7600,11828.97696,11539.18741,10521.65372,0.00639,15.47597,0.00178,0.00000,11263.70179,0.00000,74.53614,2.98626,85.67470,67.89021,1.38797,0.03059,1.44072,1.33532,-2.63785,0.19706,-2.22908,-3.19619,-2374.33917,61.46966,-2240.01807,-2512.69434,4101.64840,456.91962,5607.50879,3103.26392,3787.73061,482.69320,5221.15576,2752.43115,26.06694,11.48842,65.68697,8.47137,100257.90213,59277.01472,291786.59375,15738.04883,105610.29792,71301.00428,438082.28125,24893.85156,-0.66192,0.01696,-0.61220,-0.69782,0.12249,0.02839,0.20421,0.08795,-0.02736,0.19409,0.42443,-0.28351,-1.00127,0.05068,-0.86070,-1.09070,12.06205,0.27263,12.77455,11.23516,12.06205,0.27263,12.77455,11.23516,2.85731,0.16922,3.29785,2.53408,16.99797,0.35779,18.00456,15.92898,-1.02896,1.74598,2.53831,-5.37606,0.76372,0.04486,0.91400,0.65457,2.48300,0.02567,2.55149,2.41944,3.01448,0.11809,3.38892,2.86518,-3.27724,0.05752,-3.12556,-3.44206
18,15.334044694900513,7800,11408.59282,11377.75452,10209.17603,0.00375,15.32839,0.00178,0.00000,11494.88515,0.00000,73.89120,2.97867,81.97928,67.26963,1.49469,0.03096,1.54813,1.44126,-3.20877,0.19421,-2.65738,-3.62219,-2565.47757,62.85678,-2396.21143,-2702.17725,4400.80141,483.64375,5998.52881,3221.80078,4120.78736,499.46258,5972.77051,2995.25269,26.37008,11.91572,77.29875,8.70203,147842.29284,68140.28825,327903.65625,22700.58203,153984.20812,81508.52629,481519.96875,17515.06055,-0.65168,0.02019,-0.60384,-0.69727,0.17963,0.02223,0.23818,0.13481,0.71189,0.31932,1.26472,0.31058,-1.03293,0.08047,-0.85529,-1.20831,11.99733,0.31832,12.76916,11.16034,11.99733,0.31832,12.76916,11.16034,3.09365,0.11560,3.41599,2.78848,17.28648,0.49771,20.48050,16.11797,-1.66725,1.89422,2.42241,-8.34704,0.73280,0.04641,0.85985,0.61782,2.48706,0.03267,2.56381,2.41650,3.23537,0.20241,3.71956,2.88221,-3.30865,0.07136,-3.15796,-3.52067
19,15.982250452041626,8000,11218.27753,23147.15560,10256.34925,0.00365,15.97702,0.00140,0.00000,11516.19162,0.00000,73.53485,2.83771,79.47860,65.55907,1.60327,0.03197,1.65864,1.54868,-3.75367,0.19701,-3.30490,-4.16332,-2753.42818,62.57575,-2616.92505,-2946.27002,4441.66918,508.51517,6596.73047,3182.74487,4138.46659,393.64548,5225.33350,2974.19043,28.74742,13.28046,91.95116,8.36995,161982.64986,95104.15190,567299.62500,33131.10938,120802.36908,68987.75176,358450.93750,22627.45312,-0.65092,0.01904,-0.59196,-0.69597,0.14652,0.02244,0.20350,0.10460,0.32657,0.16821,0.77484,0.10008,-0.97405,0.05606,-0.85231,-1.10587,11.96073,0.24089,12.71103,11.28465,11.96073,0.24089,12.71103,11.28465,3.21265,0.14076,3.54911,2.91132,17.48144,0.37490,18.90260,16.66896,-1.55505,1.79938,2.25640,-8.96455,0.72939,0.05245,0.86668,0.60401,2.48837,0.02328,2.55240,2.41737,3.84132,0.20493,4.28218,3.33837,-3.31873,0.06124,-3.18147,-3.44704
