EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,push-v1_success_rate,push-v1_eval_rewards,mean_success_rate,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
10,14.371179342269897,6200,-83.08157,-34.84016,-21.89842,0.56227,13.06874,0.73326,0.00000,-81.27270,0.00000,-0.14392,0.00908,-0.11612,-0.16060,0.53257,0.00923,0.54863,0.51683,-4.24192,0.11659,-4.03810,-4.43958,-18.07795,0.26588,-17.57410,-18.68519,0.13931,0.06658,0.38131,0.01904,0.13217,0.05724,0.29354,0.02263,0.08894,0.02790,0.18732,0.03818,11.99562,10.91121,56.34217,0.20748,9.36508,7.15615,33.76455,0.35597,-0.12121,0.00515,-0.10986,-0.13399,0.00677,0.00246,0.01181,0.00307,-0.11230,0.00565,-0.09665,-0.12306,-0.12947,0.00641,-0.11921,-0.14558,-2.73445,0.00673,-2.71524,-2.75172,-2.73445,0.00673,-2.71524,-2.75172,0.24620,0.01373,0.28343,0.21419,-2.09433,0.04678,-1.94195,-2.20771,-4.96681,0.64399,-3.94306,-7.58503,-0.00345,0.00415,0.00517,-0.01313,0.01163,0.00476,0.02016,0.00352,0.01319,0.01083,0.03776,-0.00822,-0.01648,0.00718,-0.00348,-0.03368
11,14.39254879951477,6400,-82.59527,-39.35686,-22.29254,0.55897,13.10681,0.71981,0.00000,-77.24599,0.00000,-0.14668,0.00924,-0.10850,-0.16348,0.50156,0.00869,0.51668,0.48674,-4.64530,0.11630,-4.44577,-4.85184,-18.94458,0.26686,-18.40369,-19.55198,0.12030,0.05817,0.35864,0.01818,0.13143,0.05978,0.38509,0.02057,0.07884,0.02737,0.18713,0.03200,10.86846,6.50803,28.54568,0.38201,14.41967,10.24209,45.94526,0.49322,-0.12103,0.00591,-0.10957,-0.14080,0.00797,0.00152,0.01176,0.00526,-0.11139,0.00518,-0.10132,-0.12532,-0.13202,0.00762,-0.11768,-0.15295,-2.73343,0.00689,-2.71528,-2.75139,-2.73343,0.00689,-2.71528,-2.75139,0.24790,0.01314,0.28751,0.21995,-2.07711,0.05064,-1.91271,-2.24588,-5.00102,0.69849,-3.78610,-8.12748,-0.00527,0.00441,0.00425,-0.01325,0.01432,0.00512,0.02553,0.00536,0.01463,0.00490,0.02679,0.00717,-0.02377,0.01159,-0.00317,-0.05399
12,14.554877758026123,6600,-81.74989,-27.94428,-22.10516,0.56246,13.24611,0.73944,0.00000,-71.60535,0.00000,-0.14640,0.00826,-0.11735,-0.16276,0.47235,0.00818,0.48659,0.45839,-5.04928,0.11685,-4.84710,-5.24635,-19.75116,0.23296,-19.28660,-20.24646,0.12011,0.05478,0.28939,0.01811,0.12721,0.05745,0.33671,0.01536,0.07815,0.02529,0.16767,0.02537,12.59549,9.08674,44.89045,0.25302,15.91992,10.96669,45.34137,0.33647,-0.12049,0.00554,-0.10937,-0.13853,0.00699,0.00143,0.00971,0.00349,-0.11084,0.00550,-0.10279,-0.12922,-0.12898,0.00596,-0.11556,-0.14948,-2.73342,0.00654,-2.71407,-2.75257,-2.73342,0.00654,-2.71407,-2.75257,0.24731,0.01342,0.29877,0.21575,-2.06383,0.05349,-1.89917,-2.22078,-4.85564,0.65380,-3.81139,-7.04020,-0.00851,0.00338,-0.00017,-0.01550,0.01682,0.00557,0.03058,0.00672,0.01416,0.00941,0.04154,-0.00248,-0.03037,0.00863,-0.01581,-0.04565
13,14.450930833816528,6800,-80.81298,-29.80327,-25.57622,0.57152,13.11275,0.75952,0.00000,-68.63309,0.00000,-0.14640,0.00862,-0.12028,-0.16175,0.44485,0.00770,0.45825,0.43170,-5.45265,0.11666,-5.24666,-5.66271,-20.47573,0.22447,-20.01794,-20.85962,0.12529,0.06348,0.50139,0.01416,0.12486,0.06385,0.37322,0.01394,0.07738,0.02967,0.19667,0.02520,15.89090,10.88600,68.92364,0.60363,16.50595,11.24229,71.16078,0.32693,-0.12183,0.00501,-0.11234,-0.13275,0.00628,0.00252,0.01201,0.00288,-0.11373,0.00487,-0.10216,-0.12465,-0.13075,0.00681,-0.11668,-0.14517,-2.73268,0.00739,-2.71162,-2.75232,-2.73268,0.00739,-2.71162,-2.75232,0.24565,0.01415,0.28731,0.21485,-2.07455,0.05034,-1.92247,-2.17910,-4.85654,0.63005,-3.80244,-7.31345,-0.00992,0.00407,-0.00299,-0.01890,0.01258,0.00525,0.02467,0.00143,0.00685,0.00734,0.03077,-0.00686,-0.02520,0.00858,-0.00813,-0.04511
14,14.316473960876465,7000,-79.88586,-21.34986,-25.05349,0.55628,13.03751,0.71601,0.00000,-66.90619,0.00000,-0.14431,0.00824,-0.12001,-0.16074,0.41894,0.00725,0.43157,0.40656,-5.85646,0.11636,-5.65437,-6.06487,-21.17341,0.21329,-20.59447,-21.69282,0.12591,0.06398,0.41088,0.01807,0.12647,0.06078,0.38577,0.01526,0.06329,0.02045,0.14209,0.02290,14.35459,12.79780,74.38239,0.28437,16.77924,11.31684,73.12527,0.48093,-0.12179,0.00441,-0.11237,-0.13092,0.00617,0.00115,0.00838,0.00351,-0.11373,0.00503,-0.10171,-0.12467,-0.13119,0.00491,-0.11992,-0.14481,-2.73258,0.00688,-2.71329,-2.75224,-2.73258,0.00688,-2.71329,-2.75224,0.24672,0.01320,0.29628,0.21548,-2.06806,0.04449,-1.93204,-2.20940,-4.87346,0.59717,-3.75355,-7.43329,-0.00855,0.00304,-0.00230,-0.01712,0.01702,0.00238,0.02160,0.01148,0.01468,0.00919,0.03353,-0.00426,-0.02974,0.00552,-0.01919,-0.04154
15,14.545212745666504,7200,-79.05049,-24.16893,-25.04278,0.55624,13.23675,0.74613,0.00000,-66.51997,0.00000,-0.14465,0.00832,-0.11539,-0.16013,0.39455,0.00683,0.40644,0.38289,-6.26098,0.11719,-6.05834,-6.47272,-21.80717,0.19447,-21.22867,-22.19947,0.11496,0.05721,0.45728,0.01640,0.11151,0.05394,0.28011,0.01372,0.07637,0.03578,0.25377,0.02564,15.17103,9.45161,56.29036,0.30056,13.84484,9.00995,36.55635,0.43205,-0.12242,0.00507,-0.10873,-0.13099,0.00751,0.00128,0.01072,0.00485,-0.11178,0.00504,-0.09859,-0.12211,-0.13322,0.00566,-0.11936,-0.14361,-2.73321,0.00753,-2.71755,-2.75835,-2.73321,0.00753,-2.71755,-2.75835,0.24735,0.01463,0.28935,0.21945,-2.07516,0.04780,-1.91635,-2.17637,-4.92745,0.64200,-3.85512,-8.64154,-0.00641,0.00331,0.00028,-0.01427,0.01799,0.00192,0.02085,0.01346,0.01904,0.00537,0.02861,0.00697,-0.02699,0.00548,-0.01415,-0.03618
16,14.431689739227295,7400,-78.43481,-37.42532,-25.18442,0.56284,13.12250,0.74074,0.00000,-68.58389,0.00000,-0.14538,0.00824,-0.11595,-0.16191,0.37158,0.00643,0.38277,0.36060,-6.66278,0.11734,-6.45181,-6.87128,-22.31534,0.18359,-21.92560,-22.73244,0.11100,0.05801,0.32674,0.01397,0.12725,0.06968,0.42731,0.01459,0.07660,0.04208,0.27948,0.01729,12.19431,10.14781,55.67073,0.52936,18.61018,15.07359,76.49163,0.38438,-0.12079,0.00901,-0.09727,-0.13769,0.00699,0.00203,0.01373,0.00246,-0.11124,0.00834,-0.08899,-0.12958,-0.13187,0.00993,-0.10842,-0.15244,-2.73106,0.00705,-2.71184,-2.75029,-2.73106,0.00705,-2.71184,-2.75029,0.25058,0.01508,0.28968,0.21008,-2.02653,0.07062,-1.85338,-2.18828,-4.93285,0.70910,-3.71680,-8.15093,-0.01195,0.00839,0.02690,-0.02780,0.02131,0.00329,0.02835,0.01520,0.01961,0.01185,0.06516,0.00449,-0.03573,0.00673,-0.01092,-0.05282
17,14.336827039718628,7600,-77.85357,-28.99079,-25.12575,0.56509,13.03597,0.72992,0.00000,-67.97255,0.00000,-0.14614,0.00795,-0.11923,-0.16119,0.34994,0.00606,0.36049,0.33960,-7.06741,0.11690,-6.86112,-7.27018,-22.80362,0.17331,-22.43014,-23.14816,0.10189,0.05260,0.27516,0.01258,0.11474,0.05973,0.28747,0.01376,0.05525,0.02260,0.15100,0.01553,13.40108,8.55660,33.28760,0.41835,18.79046,13.70037,58.14674,0.22385,-0.11920,0.00390,-0.10999,-0.12819,0.00670,0.00168,0.01112,0.00404,-0.10948,0.00474,-0.09640,-0.12325,-0.13041,0.00415,-0.12019,-0.14151,-2.73187,0.00696,-2.71052,-2.74811,-2.73187,0.00696,-2.71052,-2.74811,0.25142,0.01405,0.29643,0.21244,-2.03892,0.05459,-1.87925,-2.17682,-4.95017,0.68671,-3.73650,-7.60195,-0.01273,0.00248,-0.00676,-0.01676,0.02003,0.00383,0.02824,0.01393,0.01279,0.00889,0.03822,0.00291,-0.03918,0.00371,-0.03090,-0.04635
18,14.401314496994019,7800,-77.08823,-27.53250,-24.97414,0.56187,13.10302,0.72973,0.00000,-63.31204,0.00000,-0.14514,0.00860,-0.11273,-0.15978,0.32956,0.00571,0.33950,0.31982,-7.47182,0.11657,-7.26623,-7.68044,-23.24495,0.15738,-22.78606,-23.56695,0.10884,0.05893,0.31683,0.01276,0.10850,0.05611,0.34809,0.01978,0.07117,0.03619,0.19020,0.01801,13.61818,11.51332,59.84890,0.80921,15.08954,9.93298,58.08763,0.88692,-0.12050,0.00559,-0.10918,-0.13195,0.00987,0.00197,0.01282,0.00541,-0.10674,0.00649,-0.09238,-0.12129,-0.13885,0.00683,-0.12307,-0.15268,-2.73236,0.00706,-2.71575,-2.74963,-2.73236,0.00706,-2.71575,-2.74963,0.25099,0.01435,0.29628,0.21041,-2.04090,0.05565,-1.86588,-2.15705,-4.91548,0.65921,-3.72666,-7.65332,-0.01238,0.00526,-0.00460,-0.02276,0.01873,0.00376,0.02601,0.01328,0.01163,0.00525,0.02153,0.00206,-0.03849,0.01043,-0.02041,-0.05831
19,14.842048168182373,8000,-76.44961,-32.17180,-24.74611,0.56475,13.53215,0.73856,0.00000,-64.31578,0.00000,-0.14617,0.00786,-0.11599,-0.16135,0.31037,0.00537,0.31973,0.30120,-7.87405,0.11588,-7.66250,-8.08667,-23.66052,0.12791,-23.37656,-23.97952,0.09134,0.04906,0.29032,0.01434,0.09008,0.04865,0.28662,0.01473,0.04290,0.01246,0.07870,0.01476,10.17987,4.52476,19.76803,1.29519,10.21470,4.14122,19.31919,1.17137,-0.11781,0.00441,-0.10786,-0.12853,0.00887,0.00110,0.01027,0.00652,-0.10043,0.00385,-0.09184,-0.10973,-0.13699,0.00509,-0.12614,-0.15034,-2.73095,0.00768,-2.70705,-2.75305,-2.73095,0.00768,-2.70705,-2.75305,0.25322,0.01211,0.28677,0.22404,-2.02252,0.05326,-1.87477,-2.15913,-4.86105,0.62337,-3.71208,-7.28713,-0.01260,0.00201,-0.00908,-0.01657,0.02229,0.00270,0.03030,0.01725,0.01851,0.00336,0.02798,0.01241,-0.04536,0.00680,-0.03457,-0.05752
