EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,push-v1_success_rate,push-v1_eval_rewards,mean_success_rate,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,alpha_0_Mean,alpha_0_Std,alpha_0_Max,alpha_0_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_norm_Mean,Training/pf_norm_Std,Training/pf_norm_Max,Training/pf_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_prob_0_Mean,log_prob_0_Std,log_prob_0_Max,log_prob_0_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
20,13.929855346679688,8200,-76.28933,-25.78737,-24.49207,0.57545,12.66412,0.68412,0.00000,-73.08371,0.00000,-0.14638,0.00761,-0.12390,-0.15897,0.29230,0.00506,0.30111,0.28366,-8.27856,0.11578,-8.07073,-8.48673,-24.01163,0.11572,-23.74150,-24.26636,0.08409,0.04643,0.21075,0.01235,0.08318,0.04581,0.20765,0.01355,0.04092,0.01158,0.08779,0.01747,10.17760,4.36424,18.66194,1.76274,10.22036,4.48009,19.56001,1.43320,-0.11788,0.00627,-0.10472,-0.13016,0.00990,0.00141,0.01322,0.00697,-0.09738,0.00375,-0.08833,-0.10258,-0.14661,0.00747,-0.13040,-0.16866,-2.73153,0.00687,-2.71356,-2.75032,-2.73153,0.00687,-2.71356,-2.75032,0.25492,0.01352,0.29430,0.21526,-2.00821,0.05844,-1.81690,-2.13053,-4.92171,0.69930,-3.66847,-8.74173,-0.01305,0.00200,-0.00972,-0.01684,0.02443,0.00520,0.04091,0.01714,0.03803,0.01835,0.08388,0.01045,-0.05810,0.02074,-0.03705,-0.11366
21,12.287747383117676,8400,-75.87060,85.38923,-20.32435,0.53508,11.06694,0.68010,0.00000,-67.07741,0.00000,-0.13120,0.01243,-0.09062,-0.15609,0.27528,0.00477,0.28358,0.26715,-8.68008,0.11873,-8.47470,-8.88508,-24.22528,0.16282,-23.84196,-24.62713,0.19179,0.08161,0.43207,0.05215,0.22095,0.08811,0.56123,0.06009,0.06301,0.02930,0.16430,0.01777,18.12870,12.38905,59.49655,0.74186,30.23096,14.53754,58.37560,1.53770,-0.11504,0.00833,-0.09603,-0.14303,0.00884,0.00216,0.01465,0.00525,-0.09900,0.00925,-0.08540,-0.13406,-0.14308,0.01064,-0.12392,-0.16682,-2.72977,0.00752,-2.71160,-2.74920,-2.72977,0.00752,-2.71160,-2.74920,0.26146,0.01436,0.32167,0.22418,-1.96557,0.06647,-1.70613,-2.12590,-4.86597,0.64224,-3.64814,-7.57027,-0.02213,0.00464,-0.01329,-0.03285,0.02429,0.00783,0.05865,0.01362,0.03923,0.02640,0.13146,0.00683,-0.07884,0.03031,-0.03865,-0.16115
22,12.369396686553955,8600,-75.01996,147.12191,-14.49998,0.54970,11.11458,0.69912,0.00000,-56.30593,0.00000,-0.11205,0.01650,-0.06364,-0.14479,0.25926,0.00449,0.26707,0.25160,-9.08377,0.11594,-8.86513,-9.29245,-24.57750,0.14240,-24.11970,-24.90251,0.31295,0.11068,0.60689,0.09067,0.30564,0.10433,0.72596,0.09731,0.06937,0.03060,0.17388,0.02083,16.32371,11.12497,57.59192,0.79977,15.37721,10.22445,63.61333,1.36037,-0.11388,0.00954,-0.09244,-0.14204,0.01098,0.00134,0.01419,0.00821,-0.09210,0.00854,-0.07609,-0.11902,-0.14881,0.01025,-0.12610,-0.18023,-2.72979,0.00755,-2.71073,-2.75356,-2.72979,0.00755,-2.71073,-2.75356,0.26228,0.01567,0.30723,0.22464,-1.97096,0.07178,-1.75364,-2.15516,-4.93614,0.72568,-3.78595,-8.23270,-0.01997,0.00623,-0.00828,-0.03433,0.02238,0.00881,0.06612,0.01336,0.02993,0.03611,0.13964,-0.01515,-0.07196,0.03512,-0.03886,-0.19714
23,12.567554712295532,8800,-75.27221,-36.11887,-14.87796,0.52968,11.34619,0.68663,0.00000,-81.07379,0.00000,-0.11310,0.01557,-0.06248,-0.15586,0.24416,0.00423,0.25152,0.23695,-9.48457,0.11590,-9.26873,-9.69227,-24.81546,0.13860,-24.51439,-25.20157,0.31318,0.10168,0.59983,0.08742,0.29555,0.09278,0.55478,0.04446,0.06054,0.02621,0.16471,0.01847,20.09632,15.16742,62.81373,1.34608,17.37257,9.10447,40.44813,1.59224,-0.11115,0.01057,-0.08908,-0.13418,0.01794,0.00207,0.02173,0.01319,-0.06741,0.00571,-0.05555,-0.08119,-0.17225,0.01765,-0.14377,-0.21242,-2.72778,0.00822,-2.70992,-2.74892,-2.72778,0.00822,-2.70992,-2.74892,0.27183,0.01399,0.30615,0.23561,-1.90824,0.07726,-1.60596,-2.05803,-4.83142,0.61779,-3.69897,-7.13603,-0.02552,0.00501,-0.01865,-0.03899,0.02878,0.00635,0.05381,0.02047,0.07301,0.03533,0.15082,0.00887,-0.15775,0.03944,-0.06581,-0.25728
24,12.396793365478516,9000,-74.30031,-21.65792,-14.25601,0.53028,11.19131,0.66924,0.00000,-50.97488,0.00000,-0.11485,0.01507,-0.07027,-0.14811,0.22995,0.00398,0.23688,0.22316,-9.88431,0.11894,-9.67551,-10.10285,-25.09808,0.12019,-24.70283,-25.48530,0.29268,0.09727,0.60361,0.07346,0.28390,0.09095,0.56824,0.07555,0.05928,0.02904,0.18644,0.01535,17.97495,10.60040,61.84462,1.59758,16.35646,10.17973,57.89178,1.72559,-0.11155,0.00935,-0.08780,-0.13130,0.01953,0.00170,0.02395,0.01514,-0.06426,0.00776,-0.04548,-0.07762,-0.16865,0.01090,-0.13840,-0.20110,-2.72527,0.00809,-2.70671,-2.75024,-2.72527,0.00809,-2.70671,-2.75024,0.27987,0.01357,0.31682,0.24420,-1.85197,0.08176,-1.61754,-2.05713,-4.88262,0.61892,-3.54942,-7.06774,-0.02764,0.00592,-0.01992,-0.04440,0.03872,0.00682,0.05602,0.02559,0.04575,0.02324,0.12278,0.01049,-0.15698,0.05507,-0.09019,-0.29141
25,12.21840524673462,9200,-73.68496,-34.52804,-14.32433,0.53040,10.99722,0.68462,0.00000,-58.30122,0.00000,-0.11521,0.01395,-0.07511,-0.14564,0.21657,0.00375,0.22310,0.21018,-10.28633,0.11584,-10.08242,-10.49115,-25.25713,0.17278,-24.80173,-25.70363,0.31084,0.10040,0.54960,0.09550,0.29726,0.09203,0.52751,0.11217,0.06539,0.02865,0.17472,0.02244,23.30822,16.77570,65.60387,0.72579,19.61535,15.08960,65.20634,1.43796,-0.11178,0.01230,-0.08495,-0.14318,0.02584,0.00257,0.03325,0.02129,-0.05163,0.00684,-0.02572,-0.06411,-0.19713,0.01761,-0.16277,-0.23742,-2.72448,0.00851,-2.70107,-2.74729,-2.72448,0.00851,-2.70107,-2.74729,0.28471,0.01484,0.32540,0.24323,-1.82572,0.11655,-1.07855,-2.04514,-4.90391,0.67679,-3.74580,-8.01471,-0.03358,0.00568,-0.02151,-0.05264,0.03734,0.00660,0.07199,0.02617,0.02406,0.03563,0.10549,-0.00551,-0.16656,0.04921,-0.09776,-0.29061
26,12.234232664108276,9400,-73.30718,160.30801,-7.86404,0.52421,11.01724,0.68700,0.00000,-63.48485,0.00000,-0.09445,0.01702,-0.04725,-0.13281,0.20397,0.00353,0.21011,0.19794,-10.68727,0.11360,-10.47480,-10.89935,-25.52677,0.14997,-25.14872,-25.83239,0.38915,0.09581,0.69151,0.17717,0.39532,0.09753,0.67481,0.18006,0.07246,0.03452,0.19726,0.02188,15.93492,9.57939,44.12256,1.87963,20.37252,14.99967,64.50212,1.86639,-0.11913,0.01271,-0.09273,-0.15797,0.03491,0.00451,0.04212,0.02675,-0.04200,0.00634,-0.03125,-0.05323,-0.23805,0.02765,-0.18598,-0.28691,-2.72308,0.00844,-2.70075,-2.74219,-2.72308,0.00844,-2.70075,-2.74219,0.28755,0.01404,0.34091,0.25590,-1.83073,0.09577,-1.48707,-2.05706,-5.02991,0.70261,-3.86126,-9.31225,-0.03206,0.00520,-0.02259,-0.04388,0.04149,0.00442,0.05465,0.03294,0.02262,0.01743,0.06450,-0.00125,-0.12287,0.02052,-0.09577,-0.17544
27,12.169946432113647,9600,-74.83480,-25.35587,-7.55493,0.52586,10.95316,0.68477,0.00000,-116.08038,0.00000,-0.09634,0.01734,-0.02935,-0.13528,0.19210,0.00332,0.19789,0.18643,-11.07944,0.11419,-10.88360,-11.28454,-25.72792,0.16689,-25.38016,-26.13417,0.40279,0.10423,0.74042,0.18548,0.40627,0.10347,0.79834,0.20786,0.07704,0.03256,0.18412,0.02154,21.86626,14.71253,57.85556,2.25025,23.17988,14.64972,60.16753,1.27477,-0.13109,0.01772,-0.08869,-0.17153,0.04526,0.00354,0.05270,0.03798,-0.03059,0.00396,-0.02022,-0.03790,-0.28549,0.02205,-0.24353,-0.34579,-2.71656,0.00926,-2.68433,-2.74156,-2.71656,0.00926,-2.68433,-2.74156,0.30097,0.01794,0.35611,0.25496,-1.78534,0.12205,-1.39320,-2.02540,-5.18874,0.80490,-4.01934,-8.53242,-0.04074,0.00908,-0.02791,-0.07056,0.05012,0.00639,0.06905,0.03738,0.00655,0.00744,0.03954,-0.00124,-0.17570,0.04623,-0.11898,-0.32076
28,12.15954041481018,9800,-74.11602,84.64651,-3.75178,0.52960,10.96196,0.66234,0.00000,-53.99026,0.00000,-0.08383,0.02071,-0.03018,-0.12806,0.18094,0.00313,0.18638,0.17560,-11.46843,0.12244,-11.24846,-11.68768,-25.93532,0.13619,-25.55463,-26.27964,0.47074,0.12006,0.88054,0.18966,0.44618,0.11300,0.73471,0.20254,0.07283,0.03504,0.28076,0.02205,20.56311,13.20868,68.20097,2.65569,15.16386,9.01774,47.20469,2.35837,-0.12422,0.02550,-0.04812,-0.17418,0.04794,0.00690,0.06033,0.02766,-0.03217,0.01862,-0.01405,-0.07773,-0.29716,0.04405,-0.20508,-0.37324,-2.70880,0.01180,-2.66473,-2.73390,-2.70880,0.01180,-2.66473,-2.73390,0.32777,0.02755,0.41745,0.27082,-1.62961,0.24635,-0.86108,-1.99889,-5.01977,0.66539,-3.88553,-7.82040,-0.05236,0.01841,-0.02048,-0.11011,0.05964,0.01028,0.09845,0.03969,0.01285,0.00594,0.02743,0.00208,-0.24345,0.07130,-0.14247,-0.41229
29,12.148226976394653,10000,-74.58804,-27.22704,-3.70715,0.53236,10.91932,0.69110,0.00000,-88.27670,0.00000,-0.08272,0.01896,-0.03009,-0.12704,0.17042,0.00294,0.17555,0.16540,-11.86116,0.11461,-11.65133,-12.08144,-26.04864,0.17188,-25.61020,-26.52384,0.49103,0.11419,0.81650,0.20537,0.44530,0.09662,0.77929,0.20845,0.07253,0.02600,0.17999,0.01962,25.27464,14.52982,63.10028,2.58389,15.29861,9.01101,43.29363,2.75364,-0.13211,0.01910,-0.07604,-0.17635,0.05671,0.00478,0.06592,0.04743,-0.01364,0.00473,-0.00454,-0.02344,-0.32890,0.02690,-0.27250,-0.38925,-2.70380,0.01060,-2.67088,-2.72602,-2.70380,0.01060,-2.67088,-2.72602,0.33218,0.02008,0.38583,0.28072,-1.62808,0.14909,-1.15509,-1.93034,-5.04493,0.69535,-3.76487,-7.77094,-0.06419,0.00903,-0.04825,-0.08783,0.05521,0.00609,0.06713,0.04380,0.00863,0.00530,0.02099,0.00272,-0.22274,0.03985,-0.15246,-0.30503
30,12.18368124961853,10200,-54.05866,-24.05318,-3.45154,0.52720,10.97168,0.67878,0.00000,516.44053,0.00000,-0.08719,0.01837,-0.02721,-0.12705,0.16052,0.00277,0.16535,0.15579,-12.25758,0.12027,-12.01786,-12.49083,-26.20013,0.12549,-25.84665,-26.60518,0.44534,0.10492,0.75215,0.21332,0.42355,0.09936,0.70212,0.20272,0.08108,0.02977,0.17142,0.02819,14.43410,8.76006,54.65439,2.07399,13.03046,8.95864,43.32791,2.76351,-0.13404,0.02359,-0.07878,-0.18294,0.06055,0.00287,0.06861,0.05371,-0.00193,0.00540,0.00516,-0.02780,-0.34391,0.02422,-0.29686,-0.39938,-2.70116,0.01136,-2.66999,-2.72939,-2.70116,0.01136,-2.66999,-2.72939,0.34299,0.01893,0.41441,0.30046,-1.58267,0.14362,-1.21867,-1.87285,-5.14392,0.75505,-3.90526,-9.12578,-0.06330,0.01067,-0.04191,-0.08821,0.06365,0.00543,0.07967,0.05529,0.02101,0.01400,0.07625,0.01066,-0.24648,0.04668,-0.18097,-0.38623
31,12.184866666793823,10400,-54.19956,-24.00130,-3.27143,0.53292,10.97024,0.67551,0.00000,-90.48201,0.00000,-0.08626,0.01825,-0.02841,-0.12410,0.15120,0.00261,0.15574,0.14674,-12.64343,0.11298,-12.46031,-12.87770,-26.34176,0.13239,-25.95561,-26.64086,0.46832,0.10824,0.84141,0.24488,0.43357,0.09901,0.72947,0.23150,0.08447,0.03559,0.20661,0.01671,17.52390,11.07397,58.42598,3.28764,15.35111,8.40744,49.64725,2.49427,-0.14011,0.01731,-0.09709,-0.18177,0.06463,0.00273,0.07230,0.05840,0.00883,0.00555,0.01935,-0.00134,-0.34557,0.01618,-0.30912,-0.38082,-2.69316,0.01160,-2.66395,-2.72406,-2.69316,0.01160,-2.66395,-2.72406,0.35769,0.01928,0.40692,0.30716,-1.54847,0.15336,-0.99089,-1.83384,-5.18942,0.59475,-3.88546,-7.19607,-0.06767,0.00896,-0.05507,-0.09163,0.07433,0.00500,0.08513,0.06093,0.03996,0.02893,0.10561,0.01311,-0.23748,0.02061,-0.19514,-0.29491
32,12.194720029830933,10600,-54.80664,-25.78813,-3.13091,0.52600,10.96890,0.69453,0.00000,-100.37488,0.00000,-0.08537,0.01671,-0.03939,-0.12366,0.14242,0.00246,0.14670,0.13823,-13.03160,0.11117,-12.83609,-13.25488,-26.40987,0.13478,-26.03110,-26.75271,0.46728,0.10093,0.78529,0.21447,0.44016,0.09564,0.75783,0.20127,0.08141,0.03278,0.19911,0.03481,13.85881,8.19874,46.85598,2.80769,15.14782,9.11518,44.05821,2.39341,-0.13909,0.01745,-0.09478,-0.18340,0.07095,0.00379,0.07963,0.06340,0.02025,0.00299,0.02717,0.01462,-0.36847,0.01905,-0.31476,-0.40955,-2.68693,0.01312,-2.65611,-2.72185,-2.68693,0.01312,-2.65611,-2.72185,0.37933,0.01793,0.43295,0.33551,-1.46523,0.16229,-0.99651,-1.81197,-5.22862,0.68237,-3.97480,-7.50204,-0.07673,0.00902,-0.06076,-0.09902,0.07922,0.00643,0.09287,0.06671,0.02020,0.00800,0.06319,0.01269,-0.28088,0.03063,-0.22579,-0.33675
33,12.306484937667847,10800,-54.19909,-27.68452,-2.62854,0.52410,11.09346,0.68328,0.00000,-73.91228,0.00000,-0.08976,0.01807,-0.04419,-0.13065,0.13416,0.00232,0.13818,0.13020,-13.41685,0.12282,-13.13611,-13.64490,-26.50700,0.15859,-25.97008,-26.93016,0.44858,0.11304,0.84492,0.18301,0.42758,0.10554,0.73850,0.18000,0.07264,0.02493,0.14613,0.02143,17.40157,11.68178,73.43272,3.14294,17.91756,11.61053,73.60001,2.50332,-0.14281,0.01628,-0.10519,-0.18326,0.07405,0.00336,0.08427,0.06561,0.02492,0.00295,0.03391,0.01810,-0.37595,0.01939,-0.32281,-0.40802,-2.67968,0.01394,-2.63218,-2.71030,-2.67968,0.01394,-2.63218,-2.71030,0.39644,0.01568,0.44912,0.35729,-1.42033,0.17102,-0.68519,-1.74060,-5.36724,0.71538,-4.11487,-7.71747,-0.08274,0.00782,-0.06994,-0.10333,0.08817,0.00515,0.10213,0.08059,0.02126,0.00242,0.02781,0.01728,-0.29857,0.02628,-0.23092,-0.34254
34,12.180378437042236,11000,-42.10598,-31.78209,-2.53414,0.52497,10.95395,0.69557,0.00000,278.04340,0.00000,-0.08769,0.01855,-0.02647,-0.13576,0.12637,0.00218,0.13017,0.12265,-13.80027,0.11372,-13.58934,-14.00723,-26.57423,0.16001,-26.07676,-27.01818,0.46656,0.11454,0.83598,0.19908,0.44264,0.11064,0.80423,0.14759,0.07985,0.02639,0.15277,0.02481,19.27311,12.34241,73.54083,3.07712,15.04897,8.75767,44.79042,2.17197,-0.14603,0.01551,-0.10517,-0.17695,0.08190,0.00307,0.09051,0.07550,0.03849,0.00414,0.04670,0.03019,-0.39825,0.02201,-0.35688,-0.44549,-2.67204,0.01314,-2.62978,-2.70837,-2.67204,0.01314,-2.62978,-2.70837,0.41168,0.01579,0.46251,0.37123,-1.37569,0.20552,-0.69349,-1.69842,-5.35036,0.67642,-4.14205,-7.93759,-0.09113,0.00729,-0.07538,-0.10888,0.08767,0.00569,0.09855,0.07836,0.02267,0.00673,0.05480,0.01553,-0.29265,0.02154,-0.26133,-0.34009
35,12.205887794494629,11200,-27.15044,157.40399,3.67860,0.53105,10.98340,0.68530,0.00000,374.81971,0.00000,-0.07433,0.01951,-0.02785,-0.11158,0.11905,0.00205,0.12261,0.11556,-14.14246,0.10471,-13.93738,-14.41651,-26.83317,0.18837,-26.39955,-27.53627,0.52464,0.11602,0.80050,0.29144,0.52135,0.11144,0.78841,0.28997,0.08886,0.02969,0.17257,0.03296,18.56165,12.05621,69.46418,1.96617,19.30944,11.09621,55.41944,3.12259,-0.15384,0.03023,-0.07660,-0.21046,0.09066,0.00548,0.10353,0.07517,0.04856,0.00654,0.06168,0.03405,-0.41453,0.03105,-0.35248,-0.48101,-2.64574,0.02408,-2.57932,-2.69637,-2.64574,0.02408,-2.57932,-2.69637,0.45669,0.03812,0.56124,0.38118,-1.27914,0.19355,-0.75163,-1.73601,-5.48168,0.85312,-4.18156,-10.40060,-0.09293,0.01527,-0.06726,-0.13176,0.11631,0.01673,0.15008,0.08760,0.06719,0.04290,0.17428,0.01931,-0.42519,0.09175,-0.28328,-0.57399
36,12.16581416130066,11400,-18.38611,-10.15174,3.66923,0.53251,10.93379,0.69419,0.00000,187.40545,0.00000,-0.07251,0.01954,-0.02154,-0.11672,0.11216,0.00193,0.11552,0.10886,-14.54489,0.12120,-14.22609,-14.76923,-26.90596,0.19242,-26.28614,-27.43390,0.53414,0.11730,0.88808,0.27411,0.54389,0.11776,0.82870,0.28157,0.08225,0.03111,0.19395,0.02503,19.85017,13.15512,80.45030,3.67085,21.38575,14.22327,76.43693,2.32329,-0.17083,0.02601,-0.12172,-0.23365,0.09159,0.00675,0.10462,0.07191,0.03942,0.00432,0.04536,0.02191,-0.42318,0.03152,-0.36421,-0.47031,-2.64853,0.01901,-2.58499,-2.68976,-2.64853,0.01901,-2.58499,-2.68976,0.44540,0.02377,0.51691,0.38669,-1.37504,0.17761,-0.83763,-1.74145,-5.49663,0.73743,-4.16869,-8.28323,-0.08380,0.00939,-0.06908,-0.11143,0.11795,0.01004,0.14020,0.10125,0.11507,0.04896,0.21142,0.03189,-0.40134,0.03790,-0.35052,-0.48871
37,12.147701501846313,11600,-18.37945,214.09085,11.81162,0.52340,10.92954,0.68977,0.00000,-78.77884,0.00000,-0.05429,0.02241,0.00229,-0.11002,0.10567,0.00181,0.10883,0.10258,-14.86065,0.11120,-14.58570,-15.11478,-27.17086,0.19779,-26.54936,-27.80300,0.63453,0.13136,1.03428,0.32775,0.67356,0.13780,1.03625,0.38430,0.09910,0.03699,0.21432,0.03049,15.98335,9.00459,49.02066,2.83748,22.23770,14.30542,87.29700,3.61488,-0.17613,0.02936,-0.10941,-0.24128,0.10452,0.00687,0.12218,0.08888,0.04147,0.00459,0.05142,0.03281,-0.47403,0.03531,-0.41485,-0.56731,-2.61279,0.02778,-2.53764,-2.67127,-2.61279,0.02778,-2.53764,-2.67127,0.50679,0.03727,0.61191,0.44106,-1.25350,0.15600,-0.69452,-1.60436,-5.71680,0.86717,-4.30231,-9.82456,-0.10772,0.01432,-0.08454,-0.13619,0.13722,0.01315,0.17157,0.11396,0.12609,0.05589,0.21870,0.04122,-0.49477,0.03916,-0.39100,-0.59636
38,12.123192071914673,11800,-18.02353,-23.91724,12.06972,0.53013,10.90655,0.68148,0.00000,-63.66826,0.00000,-0.05585,0.02313,0.00626,-0.10524,0.09957,0.00171,0.10255,0.09666,-15.20434,0.11768,-14.85161,-15.54830,-27.31419,0.22472,-26.65057,-27.84916,0.62114,0.13493,0.98576,0.31926,0.65734,0.14227,1.03055,0.35722,0.11414,0.04851,0.26584,0.02636,23.52169,16.49698,85.86009,4.78650,22.89265,14.05883,79.51146,3.50729,-0.18522,0.03079,-0.11836,-0.28061,0.11426,0.00849,0.13257,0.09471,0.02582,0.01206,0.04249,-0.02546,-0.53533,0.05578,-0.44342,-0.66943,-2.59146,0.03821,-2.46527,-2.67734,-2.59146,0.03821,-2.46527,-2.67734,0.53294,0.04735,0.67432,0.44604,-1.13679,0.19431,-0.58092,-1.50770,-5.88873,0.82338,-4.62520,-9.23181,-0.10732,0.01811,-0.08086,-0.15702,0.15147,0.01747,0.20080,0.12009,0.25031,0.06126,0.45897,0.17194,-0.56625,0.06041,-0.46727,-0.68985
39,12.101316452026367,12000,-19.72083,29.05440,12.12965,0.52416,10.88783,0.68325,0.00000,-136.10108,0.00000,-0.05527,0.02336,0.01463,-0.11770,0.09384,0.00160,0.09663,0.09111,-15.48807,0.10460,-15.16034,-15.74099,-27.42501,0.23283,-26.79929,-28.01959,0.63948,0.15034,1.11967,0.28346,0.66870,0.14884,1.18038,0.32355,0.11930,0.04637,0.25995,0.03564,27.81684,21.42076,104.62904,1.75832,22.99928,14.89759,85.41940,4.36071,-0.19911,0.02885,-0.14315,-0.26685,0.12263,0.01143,0.15927,0.09987,0.01784,0.01027,0.03304,-0.02261,-0.61237,0.05051,-0.51962,-0.73165,-2.54631,0.04464,-2.42099,-2.62416,-2.54631,0.04464,-2.42099,-2.62416,0.59588,0.04739,0.72381,0.50489,-0.81028,0.21088,-0.17343,-1.26762,-6.03686,0.79456,-4.62056,-10.04923,-0.13766,0.01787,-0.09971,-0.18022,0.16919,0.01556,0.20212,0.14009,0.25166,0.07845,0.45680,0.08022,-0.72794,0.08916,-0.50693,-0.86255
40,12.184153318405151,12200,7.16540,186.88893,16.92638,0.53974,10.96724,0.67130,0.00000,725.31426,0.00000,-0.03521,0.02522,0.03002,-0.10187,0.08847,0.00150,0.09109,0.08591,-15.74469,0.17557,-15.27049,-16.07492,-27.57594,0.23479,-26.86622,-28.28792,0.75134,0.14751,1.17283,0.34377,0.81082,0.14976,1.22729,0.39442,0.15527,0.07154,0.38380,0.02468,28.40337,19.33106,100.74565,3.60617,24.80607,16.08952,76.62418,4.22916,-0.22712,0.03076,-0.16828,-0.30727,0.13015,0.01147,0.15378,0.10311,0.00850,0.01502,0.02837,-0.03399,-0.71085,0.05535,-0.60256,-0.81041,-2.49288,0.04877,-2.34440,-2.58945,-2.49288,0.04877,-2.34440,-2.58945,0.65538,0.04828,0.82505,0.52655,-0.20863,0.26918,0.53758,-0.80078,-6.16652,0.79769,-4.66593,-8.54058,-0.14907,0.02187,-0.11409,-0.22194,0.19206,0.01519,0.23701,0.14698,0.31401,0.09844,0.51069,0.08394,-0.84981,0.05084,-0.76338,-0.99268
41,12.177432537078857,12400,13.02294,178.14225,17.51587,0.53199,10.94706,0.69195,0.00000,98.48029,0.00000,-0.01843,0.02566,0.07486,-0.08393,0.08343,0.00141,0.08588,0.08103,-15.93165,0.20099,-15.43230,-16.37621,-27.75687,0.24317,-27.09256,-28.31939,0.81213,0.14331,1.40088,0.48027,0.89298,0.16126,1.59377,0.53267,0.17830,0.07946,0.57629,0.03518,35.77983,24.70431,139.04594,4.87059,28.26699,20.12070,102.65627,5.90657,-0.26445,0.03565,-0.17728,-0.33088,0.15191,0.01354,0.17982,0.11824,0.02144,0.02068,0.06089,-0.02461,-0.84713,0.05309,-0.69449,-0.95859,-2.41487,0.08580,-2.19552,-2.59063,-2.41487,0.08580,-2.19552,-2.59063,0.73233,0.08407,0.94677,0.53536,0.09374,0.42269,0.85518,-0.97743,-6.27993,0.87604,-4.59757,-9.05775,-0.14307,0.02406,-0.09828,-0.19654,0.22832,0.02855,0.30172,0.17266,0.35342,0.07364,0.47377,0.20130,-0.93714,0.09385,-0.69899,-1.11903
42,12.175472497940063,12600,1082.37110,62.48609,17.51259,0.51803,10.95672,0.69547,0.00000,32008.83930,0.00000,-0.01941,0.02597,0.07246,-0.08345,0.07871,0.00132,0.08101,0.07647,-16.06906,0.21239,-15.58477,-16.52300,-27.91207,0.25204,-27.29473,-28.66474,0.77284,0.13257,1.23582,0.49614,0.87726,0.15279,1.33057,0.50715,0.20155,0.08320,0.52407,0.06341,28.67705,16.21343,83.51114,4.83459,29.68645,19.14584,93.34157,4.79053,-0.27069,0.04133,-0.16918,-0.35143,0.16222,0.01218,0.20248,0.14146,0.05229,0.01322,0.08850,0.02635,-0.87311,0.05140,-0.78524,-1.01402,-2.32213,0.08592,-2.12783,-2.49475,-2.32213,0.08592,-2.12783,-2.49475,0.85382,0.07814,1.03250,0.66824,0.69504,0.45401,1.87437,-0.45305,-6.61261,0.92586,-4.92599,-10.67550,-0.15697,0.02048,-0.11764,-0.21002,0.27837,0.02948,0.35163,0.22012,0.42832,0.09799,0.64760,0.24154,-1.11295,0.07638,-0.94127,-1.29025
43,12.207051277160645,12800,6358.39788,473.77318,17.85726,0.53010,10.96624,0.70500,0.00000,158212.17044,0.00000,0.02211,0.03989,0.13908,-0.06232,0.07432,0.00122,0.07645,0.07225,-15.91805,0.32975,-15.04822,-16.54838,-28.20244,0.30228,-27.51737,-29.07753,1.75862,1.13478,6.86460,0.54161,1.92016,1.16659,7.18132,0.62159,0.27057,0.12407,0.68187,0.06430,42.87531,26.30448,151.39401,8.27320,40.89432,22.44931,146.76904,8.85459,-0.30315,0.04418,-0.18534,-0.41815,0.17136,0.01146,0.19473,0.13846,0.03036,0.01171,0.07127,0.00692,-0.97737,0.07913,-0.77102,-1.14626,-2.12465,0.14039,-1.73311,-2.42127,-2.12465,0.14039,-1.73311,-2.42127,1.08356,0.13270,1.44224,0.84498,1.59874,0.63014,3.20509,0.25593,-6.76424,0.95267,-4.95237,-10.48577,-0.12684,0.02238,-0.09174,-0.18368,0.38040,0.05067,0.51506,0.30012,0.87431,0.19677,1.18327,0.37448,-1.42075,0.15215,-1.16161,-1.77338
